"Id","X","Y"
1,2.275998,48.872568
2,2.351833,48.899628
3,2.411563,48.856795
4,2.34463,48.89247
5,2.365686,48.824405
6,2.363065,48.898551
7,2.399533,48.832304
8,2.315428,48.824199
9,2.279085,48.840328
10,2.31863,48.88387
11,2.38225,48.88237
12,2.289272,48.85494
13,2.372123,48.887047
14,2.309606,48.831535
15,2.354645,48.884987
16,2.407303,48.854988
17,2.368197,48.877355
18,2.359162,48.817942
19,2.366898,48.82046
20,2.354328,48.884988
21,2.377394,48.870536
22,2.350677,48.840253
23,2.342156,48.875976
24,2.410282,48.837933
25,2.328912,48.821232
26,2.363661,48.874772
27,2.395497,48.877801
28,2.36381,48.853622
29,2.382548,48.855888
30,2.300662,48.826643
31,2.395229,48.889565
